Date,Company
2008-03,WMT
2008-03,HPQ
2008-03,AIG
2008-03,JNJ
2008-03,S
2008-03,VZ
2008-03,CMCSA
2008-03,PG
2008-03,WFC
2008-03,JPM
2008-03,TWX
2008-03,ORCL
2008-03,BAC
2008-03,R
2008-03,XOM
2008-03,INCO
2008-03,CSCO
2008-03,T
2008-03,PFE
2008-03,MSFT
2008-03,GEC
2008-03,BGIXX
2008-04,GHC
2008-04,MDP
2008-04,AZO
2008-04,GAS
2008-04,MXA
2008-04,MIL
2008-04,ASH
2008-04,SNA
2008-04,DDS
2008-04,R
2008-04,RL
2008-04,HAR
2008-04,BDK
2008-04,GWW
2008-04,ICE
2008-04,SHLD
2008-04,WHR
2008-04,TEG
2008-04,KBH
2008-04,OMX
2008-04,AVB
2008-04,MTZ
2008-04,SWK
2008-04,EMN
2008-04,IFF
2008-04,BFB
2008-04,ANF
2008-04,JNY
2008-04,FII
2008-04,BC
2008-04,WEN
2008-04,CIEN
2008-04,VFC
2008-04,FLR
2008-04,SSP
2008-04,SAF
2008-04,BIG
2008-04,TMK
2008-04,AIV
2008-04,LXK
2008-04,AIZ
2008-04,ACS
2008-04,BLL
2008-04,TIE
2008-04,FNP
2008-04,WAT
2008-04,BMS
2008-04,PNW
2008-04,BCR
2008-04,ATI
